name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,155 lbs.,--,,"Jul 13, 1978"
Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
Darion Abbey,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993"
David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",True,https://en.wikipedia.org/wiki/Shamil_Abdurakhimov,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Shamil AbdurakhimovШамиль Абдурахимов,,,"Makhachkala, Dagestan ASSR, Russian SFSR, Soviet Union",Russian,,,Heavyweight,,,"Wushu Sanda, Freestyle Wrestling, Kickboxing",Fighting Eagle,Kickboxing: Magomed Magomedov,National Master of Sports in Wushu Sanda International Master of Sports in Kickboxing,2008—2023,"Makhachkala, Dagestan, Russia",9,4,7,6,1,1,,,26808,Shamil Abdurakhimov,,,,,,,,,,,,,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",145 lbs.,--,Orthodox,--
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",True,https://en.wikipedia.org/wiki/Daichi_Abe,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Daichi Abe,,,"Niigata Prefecture, Japan",,,,MiddleweightWelterweightLightweight,,,,HMC Japan,,Black belt in Judo,2011–present,"Tokyo, Japan",8,1,6,3,5,3,,,191861,Daichi Abe,,,,,,Daichi Zelos,,,,,,,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
Papy Abedi,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978"
Ricardo Abreu,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984"
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",True,https://en.wikipedia.org/wiki/Klidson_Abreu,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Klidson Abreu,,,"Manaus, Amazonas, Brazil",,6 ft 0 in,,Light heavyweight Heavyweight,74.0,,,Evolução Thai MMAGracie Barra,,,2011–present,"Curitiba, Parana, Brazil",5,10,2,4,,4,,2,111535,Klidson Abreu,"6'0""",182.9,,,188.0,White BearRussian Terror,74 in,,,,,,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992"
Cyborg Abreu,--,--,--,,"Dec 20, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,,"Dec 20, 1980"
Daniel Acacio,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
John Adajar,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991"
Scott Adams,"6' 0""",225 lbs.,--,Southpaw,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",225 lbs.,--,Southpaw,--
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",True,https://en.wikipedia.org/wiki/Juan_Adams,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Juan Adams,,,"Houston, Texas, U.S.",,,,Heavyweight,81.0,,Wrestling,Paradigm Training Jackson Wink MMA Academy (2019–present),,,2017–present,"Houston, Texas, U.S.",9,1,,5,,1,,,239097,Juan Adams,,,,,205.7,The Kraken,81 in,,,,,,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988"
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992"
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",True,https://en.wikipedia.org/wiki/Israel_Adesanya,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Israel Adesanya,Israel Mobolaji Temitayo Odunayo Oluwafemi Owolabi Adesanya,,"Lagos, Nigeria",Nigerian New Zealander,,185 lb,Middleweight (2012–present) Light Heavyweight (2021),80.0,Switch,Kickboxing,City Kickboxing (2010–present),Eugene Bareman: Andrei Păuleț:,Purple belt in Brazilian Jiu-Jitsu under André Galvão,2010–present,"Auckland, New Zealand",16,,8,3,1,2,,,56374,Israel Adesanya,,,185.0,83.9,203.2,,80 in,,,,,,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
Sam Adkins,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965"
Mohamed Ado,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000"
Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979"
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",True,https://en.wikipedia.org/wiki/Mariya_Agapova,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Mariya Agapova,,,"Pavlodar, Kazakhstan",,,,Flyweight,,,,American Top Team,Roger Krahl (2021–present),,2015–present,"Pavlodar, Kazakhstan",3,5,2,1,3,1,,,206861,Mariya Agapova,,,,,,Money Mashka,,,,,,,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997"
Kantharaj Agasa,--,135 lbs.,--,,"Feb 16, 1992",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,135 lbs.,--,,"Feb 16, 1992"
Marcelo Aguiar,"5' 10""",170 lbs.,--,Orthodox,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,--,Orthodox,--
Fabio Aguiar,"6' 0""",185 lbs.,--,,"Feb 10, 1988",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",185 lbs.,--,,"Feb 10, 1988"
Edwin Aguilar,"5' 10""",185 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",185 lbs.,--,,--
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",True,https://en.wikipedia.org/wiki/Jessica_Aguilar,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Jessica Aguilar,,,"Poza Rica, Veracruz, Mexico",Mexican American,,,Strawweight,,,,American Top Team (2006–2020) Main Street Boxing (2020–present),,Black belt in Brazilian jiu-jitsu,2006–present (MMA),,2,8,10,,2,8,,,15174,Jessica Aguilar,,,,,,JAG,,,,,,,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",True,https://en.wikipedia.org/wiki/Kevin_Aguilar_(mixed_martial_artist),"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Kevin Aguilar,,,,,,,Featherweight,73.0,,,Longview MMA Team 515,,Purple belt in Brazilian Jiu-Jitsu,2010–present,"Longview, Texas, United States",10,1,6,2,,3,,,57838,Kevin Aguilar (mixed martial artist),,,,,185.4,The Angel of Death,73 in,,,,,,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988"
Jesus Aguilar,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996"
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",True,https://en.wikipedia.org/wiki/Christian_Aguilera,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Christian Aguilera,,,"Whittier, California, United States",,,,Welterweight,72.0,Switch,,Total MMA Studios,,,2013–present,"Brea, California",11,,3,4,2,2,,,90555,Christian Aguilera,,,,,182.9,The Beast,72.0 in,,,,,,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991"
Nick Aguirre,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996"
Agulali,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005"
Ahejiang Ailinuer,--,145 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,145 lbs.,--,,--
Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",155 lbs.,--,Orthodox,--
Ashiek Ajim,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994"
Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974"
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",True,https://en.wikipedia.org/wiki/Omari_Akhmedov,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Omari Akhmedov,,,"Kizlyar, Dagestan ASSR, Russian SFSR, Soviet Union",Russian,6 ft 0 in,205 lb,Light HeavyweightMiddleweightWelterweight,73.0,,"Combat Sambo, Pankration, ARB","DagFighter MMA, Eagles MMA American Top Team (2016–present)",,International Master of Sport in Combat Sambo 2nd dan black belt and International Master of Sport in Army Hand-to-Hand Combat,2010–present,"Makhachkala, Dagestan, Russia",9,7,10,4,2,2,1,,83462,Omari Akhmedov,"6'0""",182.9,205.0,93.0,185.4,Wolverine,73 in,,,,,,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975"
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982"
Abdul-Kareem Al-Selwady,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995"
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973"
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991"
Javi Alanis,"5' 6""",135 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",135 lbs.,--,,--
Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",True,https://en.wikipedia.org/wiki/Alateng_Heili,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Alateng Heili,,,"Alxa, Inner Mongolia, China",,,,Flyweight Bantamweight,66.5,,Freestyle wrestling,UFC PI ShanghaiFight Ready (2021–present),,,2013–present,"Inner Mongolia, China",5,3,9,3,1,6,2,,150691,Alateng Heili,,,,,168.9,The Mongolian Knight,66.5 in,,,,,,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991"
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",True,https://en.wikipedia.org/wiki/Amir_Albazi,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Amir Albazi,Amir Yahya Abdulamir Al-Bazi,,"Baghdad, Iraq",,,,"Flyweight (2017, 2021-present Bantamweight (2009-2016, 2020)",68.0,,,Fightzone Stockholm (formerly) London Shootfighters (2013–2021) Xtreme Couture Mixed Martial Arts (2021–2024) Fight Ready MMA (2024–2025) Atreus MMA (2025–present),,Purple belt in Brazilian Jiu-Jitsu,2009–present,"Baghdad, Iraq",5,9,3,,,3,,,51365,Amir Albazi,,,,,172.7,The Prince,68 in,,,,,,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993"
Brett Albee,--,225 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,225 lbs.,--,,--
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986"
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",True,https://en.wikipedia.org/wiki/Júnior_Albini,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Júnior Albini,,,"Paranagua, Parana, Brazil",,,,HeavyweightLight Heavyweight,,Orthodox,,Astra Fight Team,,Brown belt in Brazilian Jiu-JitsuPurple belt in Luta Livre,2009–present,"Parnagua, Piauí, Brazil",9,6,2,2,3,1,,,67923,Júnior Albini,,,,,,Baby,,,,,,,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
Wes Albritton,"5' 10""",188 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",188 lbs.,--,Orthodox,--
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",True,https://en.wikipedia.org/wiki/Aleksandra_Albu,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Aleksandra Albu,Aleksandra Albu,,"Vulcănești, Moldavian SSR, USSR",Russian Moldovan,,,Strawweight,,,"Judo, Karate",MMA–KEGI,Andrey Tsarkov,Black Belt in karate,,"Moscow, Russia",1,1,1,,1,1,,,144949,Aleksandra Albu,,,,,,Stitch,,,,,,,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
Israel Albuquerque,--,185 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,185 lbs.,--,Orthodox,--
Juan Alcain,--,--,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,,--
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",True,https://en.wikipedia.org/wiki/Iuri_Alcântara,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Iuri Alcântara,,,"Marajó, Brazil",,,,Bantamweight (2013–current) Featherweight (2011–2012) Lightweight (2004–2010) Welterweight (2010),71.0,,,Marajó Brothers TeamWand Fight Team,,Black belt in Brazilian Jiu-Jitsu,2004–present,"Soure, Pará, Brazil",15,14,7,3,2,6,,1,16129,Iuri Alcântara,,,,,180.3,Marajó,71 in,,,,,,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980"
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",True,https://en.wikipedia.org/wiki/Ildemar_Alcântara,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Ildemar Alcântara,,,"Soure, Pará, Brazil",,,,HeavyweightLight HeavyweightMiddleweightWelterweight,,,,Frankiko TeamMarajo Brothers Team,,Black belt in Brazilian Jiu-Jitsu,2005–present,"Soure, Pará, Brazil",11,9,6,8,1,9,,,22223,Ildemar Alcântara,,,,,,Marajó,,,,,,,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982"
Alfonso Alcarez,"5' 3""",145 lbs.,--,,"Jun 10, 1970",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 3""",145 lbs.,--,,"Jun 10, 1970"
Gilbert Aldana,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977"
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",True,https://en.wikipedia.org/wiki/Irene_Aldana,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Irene Aldana,Irene Aldana Robles,,"Culiacán, Sinaloa, Mexico",,5 ft 9 in,135 lb,Bantamweight,69.0,,,Lobo Gym MMA,Francisco Grasso,,2012–present,"Guadalajara, Jalisco, Mexico",8,3,4,2,,6,,,148377,Irene Aldana,"5'9""",175.3,135.0,61.2,175.3,,69 in,,,,,,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988"
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",True,https://en.wikipedia.org/wiki/Hector_Aldana,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Hector Aldana,,,Mexico,,,,Welterweight,72.0,,,Torture Athletics,,,2011–present,"Mexicali, Baja California, Mexico",2,2,1,2,,1,,,82725,Hector Aldana,,,,,182.9,El Charro,72 in,,,,,,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988"
Jose Alday,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991"
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",True,https://en.wikipedia.org/wiki/José_Aldo,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",José Aldo,José Aldo da Silva Oliveira Júnior,,"Manaus, Amazonas, Brazil",,5 ft 7 in,143 lb,"Bantamweight (2019–2022, 2024) Featherweight (2004–2019, 2025)Lightweight (2005)",70.0,Orthodox,,Nova UniãoRuas Vale Tudo,André Pederneiras,Black belt in Brazilian Jiu-Jitsu under André Pederneiras Black belt in Luta Livre under Marco Ruas,2004–2025 (MMA)2023–2025 (boxing),"Rio de Janeiro, Brazil",17,1,14,4,1,5,,,11506,José Aldo,"5'7""",170.2,143.0,64.9,177.8,,70 in,,,,,,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986"
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992"
Irina Alekseeva,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990"
Talita Alencar,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990"
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",True,https://en.wikipedia.org/wiki/Jim_Alers,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Jim Alers,,,"New York, New York, U.S.",,,,LightweightFeatherweight,,,Boxing,Gracie Barra Orlando Alliance BJJ American Top Team (2014–2015) MMA Masters Alers Martial Arts,,Black belt in Brazilian Jiu-Jitsu under Vagner Rocha,2008–present,"Pembroke Pines, Florida, U.S.",2,10,2,2,1,2,,1,36581,Jim Alers,,,,,,"The Beast, The Bareknuckle Beast",,,,,,,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986"
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979"
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972"
Kenneth Alexander,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977"
Lucas Alexander,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995"
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989"
Olaf Alfonso,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974"
Pablo Alfonso,"5' 8""",145 lbs.,--,,"May 09, 1983",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",145 lbs.,--,,"May 09, 1983"
Levi Alford,--,--,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,,--
