name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Remo Cardarelli,--,135 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,135 lbs.,--,,--
Phil Cardella,"5' 11""",155 lbs.,--,,"Jul 09, 1976",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",155 lbs.,--,,"Jul 09, 1976"
Edgar Cardenas,--,145 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,145 lbs.,--,,--
Chris Cariaso,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",True,https://en.wikipedia.org/wiki/Chris_Cariaso,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Chris Cariaso,Chris Vincent Cariaso,,"San Jose, California, United States",,,,Flyweight Bantamweight Featherweight,63.0,Southpaw,,Rise Combat Sports,,Black belt in Brazilian Jiu-Jitsu,2006 – 2015,"Tucson, Arizona",3,2,12,1,3,4,,,16467,Chris Cariaso,,,,,160.0,Kamikaze,63 in,,,,,,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981"
Ronald Carillo,--,125 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,125 lbs.,--,,--
Rafael Carino,"6' 8""",245 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 8""",245 lbs.,--,Orthodox,--
Don Carlo-Clauss,--,170 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,170 lbs.,--,,--
Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",True,https://en.wikipedia.org/wiki/Antônio_Carlos_Júnior,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Antônio Carlos Jr.,Antônio Carlos Coelho de Figueiredo Barbosa Júnior,,"João Pessoa, Paraíba, Brazil",,,,"Heavyweight (2013–2014) Light Heavyweight (2014, 2021–present) Middleweight (2015–2021)",79.0,,"Brazilian Jiu-Jitsu, Muay Thai",American Top Team (2015–present),,"Black belt in Brazilian Jiu-Jitsu under Hélder ""Bob Esponja"" Medeiros",2013–present,"Rio de Janeiro, Brazil",,13,6,1,,5,,2,143157,Antônio Carlos Júnior,,,,,200.7,Cara de Sapato ('Shoe Face'),79 in,,,,,,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990"
Spike Carlyle,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",True,https://en.wikipedia.org/wiki/Spike_Carlyle,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Spike Carlyle,,,"San Diego, California, U.S.",,,,WelterweightLightweight Featherweight,71.0,Switch,,The Treigning Lab (until 2020) Kings MMA (2020–present),,Black belt in Judo Brown belt in Brazilian jiu-jitsu,2017–present,"San Diego, California",7,8,1,,,7,,,188775,Spike Carlyle,,,,,180.3,The Alpha GingerThe Crucifixion,71 in,,,,,,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993"
Francis Carmont,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",True,https://en.wikipedia.org/wiki/Francis_Carmont,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Francis Carmont,,,"Saint-Tropez, France",French,,,Light HeavyweightMiddleweight,,,,Tristar GymFrench Top Team,,Brown belt in Brazilian Jiu-Jitsu,2004-present,"Montreal, Quebec, Canada",6,11,8,3,3,6,,,9798,Francis Carmont,,,,,,Limitless,,,,,6,3,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981"
