name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Ronald,http://ufcstats.com/fighter-details/cbd022eaf2ac546a,--,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rafael,http://ufcstats.com/fighter-details/08a7080ff5904661,--,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Don,http://ufcstats.com/fighter-details/f59a6de8a5dfe297,--,10,7,0,1.44,30.0,7.68,43.0,0.0,0.0,66.0,0.0,
Antonio,http://ufcstats.com/fighter-details/52e76bb4b3e852f3,"79.0""",11,5,0,1.95,42.0,2.14,52.0,3.42,39.0,53.0,0.8,
Spike,http://ufcstats.com/fighter-details/be68b375707dcb85,"71.0""",9,3,0,2.55,54.0,3.85,30.0,3.34,36.0,57.0,0.5,
Francis,http://ufcstats.com/fighter-details/3591d0d5d382a381,"78.0""",25,12,0,2.22,42.0,1.64,59.0,1.79,36.0,73.0,0.6,
Liz,http://ufcstats.com/fighter-details/51a0c09cbe9b8472,"66.0""",13,7,0,2.78,54.0,2.51,61.0,2.57,51.0,65.0,0.3,
Roan,http://ufcstats.com/fighter-details/1c86754617d9813a,"76.0""",21,11,0,1.46,46.0,1.82,62.0,3.05,42.0,83.0,1.4,
Ariane,http://ufcstats.com/fighter-details/c0d5c0c95c59050b,"61.0""",15,4,0,2.63,38.0,4.61,44.0,1.08,50.0,22.0,0.2,
Luana,http://ufcstats.com/fighter-details/528b071cf3da7c56,"69.0""",11,5,0,4.65,51.0,3.46,51.0,0.3,37.0,68.0,0.6,
Tim,http://ufcstats.com/fighter-details/b80ea4880f25c187,--,7,1,0,0.59,50.0,6.9,12.0,0.0,0.0,0.0,0.0,
Clayton,http://ufcstats.com/fighter-details/b62d5280966b2460,"66.0""",8,2,0,3.66,53.0,2.57,55.0,1.99,46.0,37.0,1.3,
Gabriel,http://ufcstats.com/fighter-details/89ed44801968b8e3,--,7,0,0,4.15,37.0,1.53,80.0,0.0,0.0,100.0,0.0,
Cody,http://ufcstats.com/fighter-details/9346efb4bbaedd08,--,11,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cain,http://ufcstats.com/fighter-details/064b7dc68d786254,--,10,3,0,2.72,42.0,5.8,51.0,0.0,0.0,14.0,0.0,
Roger,http://ufcstats.com/fighter-details/572a89dbe1f76761,--,16,14,0,7.62,61.0,10.48,43.0,0.0,0.0,100.0,0.0,
Jonny,http://ufcstats.com/fighter-details/0d49ddc07bd8c747,--,11,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Scott,http://ufcstats.com/fighter-details/1e3302f9ab6f549a,--,4,2,0,0.62,66.0,6.22,23.0,0.0,0.0,0.0,0.0,
Shonie,http://ufcstats.com/fighter-details/7b6e40a73b567072,--,51,31,7,1.62,36.0,2.32,47.0,0.75,66.0,75.0,0.0,
Jack,http://ufcstats.com/fighter-details/1f592bfefb0d62a3,"68.0""",10,1,0,0.8,38.0,3.33,29.0,6.0,66.0,0.0,2.0,
Bruno,http://ufcstats.com/fighter-details/456c02115efc4a01,--,10,5,0,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,
Antonio,http://ufcstats.com/fighter-details/fef3d17e27e916e7,"70.0""",15,6,0,3.03,29.0,3.62,64.0,0.0,0.0,100.0,0.0,
Rafael,http://ufcstats.com/fighter-details/620d8710e89cfeae,--,14,1,0,1.94,50.0,1.84,54.0,2.77,40.0,70.0,0.0,
Shane,http://ufcstats.com/fighter-details/68dd7b3783c19f9c,"80.0""",12,2,0,4.38,47.0,3.53,53.0,1.42,33.0,42.0,0.0,
Johnny,http://ufcstats.com/fighter-details/1f4b04a926ef1287,"72.0""",22,6,0,3.95,38.0,2.66,61.0,1.7,45.0,72.0,0.2,
Kevin,http://ufcstats.com/fighter-details/8d9586726252dbf7,"77.0""",9,5,2,2.27,53.0,3.76,46.0,0.79,22.0,27.0,0.4,
Cortney,http://ufcstats.com/fighter-details/5f179af5fffeb9f6,"67.0""",10,10,0,4.29,39.0,4.0,55.0,0.39,31.0,39.0,0.5,
Brandon,http://ufcstats.com/fighter-details/3993f7dcb7caf42a,--,10,4,0,5.42,72.0,0.68,33.0,10.17,66.0,0.0,0.0,
Bendy,http://ufcstats.com/fighter-details/ec7ac09293d26c05,--,20,14,2,0.74,27.0,3.42,54.0,0.0,0.0,100.0,0.0,
Dwayne,http://ufcstats.com/fighter-details/31c01fbc2586a5eb,--,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe,http://ufcstats.com/fighter-details/2b1c6f28039efe36,--,9,1,0,4.17,55.0,10.83,23.0,0.0,0.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/5fa2974cbd18e05c,"71.0""",21,8,1,4.95,51.0,5.07,54.0,1.49,37.0,75.0,0.1,
Eric,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1,--,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gil,http://ufcstats.com/fighter-details/31ceaf0e670c1578,--,8,5,0,0.6,45.0,2.22,44.0,3.33,45.0,50.0,0.0,
Danny,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf,"71.0""",17,10,0,2.57,42.0,1.96,62.0,2.95,38.0,63.0,0.2,
Raul,http://ufcstats.com/fighter-details/feeae92f951f49a9,--,7,1,0,1.47,48.0,3.27,60.0,0.0,0.0,0.0,0.0,
Jenna,http://ufcstats.com/fighter-details/e680418329c84ec4,--,1,0,0,3.24,56.0,2.01,57.0,1.68,100.0,100.0,0.0,
Tim,http://ufcstats.com/fighter-details/6ca68b636fbc1f18,--,4,2,0,0.39,100.0,0.77,33.0,0.0,0.0,0.0,0.0,
Nick,http://ufcstats.com/fighter-details/f8fe2053d73d7bcf,"72.0""",10,4,0,2.11,44.0,2.32,63.0,3.71,44.0,83.0,0.5,
Luke,http://ufcstats.com/fighter-details/68d76fd9ecf7431d,--,17,17,0,1.97,28.0,5.07,55.0,0.44,20.0,85.0,0.0,
Gesias,http://ufcstats.com/fighter-details/2a74bbba57058f12,"71.0""",21,10,1,1.98,35.0,3.11,51.0,1.25,36.0,66.0,1.1,
Rafael,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c,"74.0""",12,7,0,2.71,53.0,3.62,49.0,0.6,40.0,63.0,0.1,
Jacqueline,http://ufcstats.com/fighter-details/e3964ece586e0635,"70.0""",10,1,0,5.65,46.0,3.17,68.0,0.0,0.0,88.0,0.0,
Igor,http://ufcstats.com/fighter-details/9c3de7f8966326de,"79.0""",9,1,0,3.33,42.0,3.6,48.0,1.0,50.0,66.0,0.0,
Magnus,http://ufcstats.com/fighter-details/0e21976afc92e4d1,"79.0""",14,5,0,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,
Yosdenis,http://ufcstats.com/fighter-details/3e61082025db8137,"69.0""",10,6,1,1.64,29.0,1.6,67.0,0.0,0.0,31.0,0.3,
Henry,http://ufcstats.com/fighter-details/056c493bbd76a918,"64.0""",16,6,0,3.83,47.0,3.84,57.0,1.78,29.0,72.0,0.1,
Adam,http://ufcstats.com/fighter-details/b27b8881d7444114,--,6,8,0,1.91,42.0,2.61,51.0,3.92,75.0,50.0,1.3,
Vinicius,http://ufcstats.com/fighter-details/f21a152aaa3e95c6,"74.0""",7,2,0,2.9,48.0,2.69,62.0,1.61,50.0,0.0,0.0,
Katlyn,http://ufcstats.com/fighter-details/e872e9a9a902c045,"68.0""",18,6,0,4.58,34.0,4.48,62.0,0.31,15.0,50.0,0.3,
Rafael,http://ufcstats.com/fighter-details/09a4447655fd4b7b,"76.0""",11,4,0,1.56,43.0,5.05,36.0,0.0,0.0,36.0,0.0,
Donald,http://ufcstats.com/fighter-details/1d00756835ca67c9,"73.0""",36,17,0,4.41,46.0,4.48,53.0,1.16,33.0,73.0,1.2,
Jared,http://ufcstats.com/fighter-details/fdf59144e535bc38,--,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luan,http://ufcstats.com/fighter-details/9ccf8371fd80d45d,"75.0""",15,3,1,4.16,47.0,3.19,62.0,0.32,12.0,85.0,0.3,
Dagiisuren,http://ufcstats.com/fighter-details/70186298465de3f3,--,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edgar,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,"71.0""",13,6,0,3.65,45.0,4.75,46.0,0.0,0.0,38.0,1.3,
Ansar,http://ufcstats.com/fighter-details/7342fcc41a4817fa,--,14,5,0,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,
Alex,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d,"63.0""",5,5,0,2.97,54.0,5.1,50.0,2.31,41.0,53.0,1.0,
Michael,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,"71.0""",23,10,0,4.04,49.0,4.52,43.0,1.96,41.0,61.0,0.6,
Chelsea,http://ufcstats.com/fighter-details/af9efbfd63d39734,"68.0""",6,4,0,3.55,45.0,4.44,40.0,0.87,60.0,28.0,0.0,
Eduardo,http://ufcstats.com/fighter-details/62f3039da2f92a8c,"67.0""",15,2,0,2.47,40.0,1.6,64.0,5.0,83.0,75.0,0.0,
Donnie,http://ufcstats.com/fighter-details/8788beb528894f33,--,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5,--,6,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dan,http://ufcstats.com/fighter-details/32a4f1235f0dad73,--,10,6,1,2.82,45.0,3.51,44.0,0.0,0.0,31.0,0.0,
Morgan,http://ufcstats.com/fighter-details/5b03b61f9d90125e,"69.0""",21,12,1,4.02,50.0,4.51,53.0,2.06,46.0,83.0,0.3,
Jeisla,http://ufcstats.com/fighter-details/8061a3136026a673,"68.0""",7,0,0,5.67,51.0,4.27,60.0,0.0,0.0,75.0,0.0,
Ernest,http://ufcstats.com/fighter-details/b406da701c479076,"70.0""",10,2,0,2.79,40.0,3.89,59.0,0.89,33.0,50.0,0.0,
Emilio,http://ufcstats.com/fighter-details/84e8920e59ff14a7,--,12,9,0,2.73,48.0,1.53,54.0,3.0,50.0,0.0,0.0,
Danny,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c,"67.0""",11,5,1,2.86,38.0,3.83,50.0,1.95,60.0,87.0,0.0,
Gabriel,http://ufcstats.com/fighter-details/9c5f7d5c6d084b35,--,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albert,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0,--,7,4,0,1.0,41.0,2.6,71.0,0.0,0.0,0.0,0.0,
Fabio,http://ufcstats.com/fighter-details/78a68f1dade6aaf7,"74.0""",7,4,0,1.35,40.0,4.89,38.0,0.0,0.0,0.0,0.0,
Ion,http://ufcstats.com/fighter-details/c713a845360d604b,--,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mark,http://ufcstats.com/fighter-details/79a193111e3bc99b,"69.0""",11,1,0,3.69,34.0,7.37,56.0,5.03,50.0,0.0,0.0,
Macy,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,"72.0""",11,6,0,3.21,46.0,2.76,44.0,1.87,35.0,62.0,0.4,
Michael,http://ufcstats.com/fighter-details/c58f51dedb310998,"75.0""",20,7,0,2.02,40.0,1.73,57.0,3.11,47.0,65.0,1.0,
Giga,http://ufcstats.com/fighter-details/9560ff14eb3129f7,"74.0""",15,6,0,3.75,42.0,3.47,59.0,0.18,33.0,65.0,0.2,
Khamzat,http://ufcstats.com/fighter-details/767755fd74662dbf,"75.0""",15,0,0,4.04,60.0,2.32,43.0,5.29,55.0,85.0,1.8,
Sako,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4,--,8,1,0,2.4,27.0,4.8,46.0,0.0,0.0,100.0,0.0,
Mu Bae,http://ufcstats.com/fighter-details/371a1c91b24dec2b,--,12,6,0,1.55,49.0,3.65,44.0,3.12,75.0,60.0,1.0,
Hong Man,http://ufcstats.com/fighter-details/2c104b7e59a72629,--,4,5,0,1.32,26.0,1.46,36.0,0.71,100.0,84.0,0.0,
Dooho,http://ufcstats.com/fighter-details/e93b04e308913c2e,"70.0""",16,4,1,4.67,56.0,4.02,56.0,1.43,53.0,47.0,0.6,
SeungWoo,http://ufcstats.com/fighter-details/a68575214ecad140,"74.0""",11,8,0,3.56,38.0,3.16,47.0,0.83,54.0,70.0,0.0,
SeungGuk,http://ufcstats.com/fighter-details/adccbc19b22e19af,"64.0""",7,3,0,2.69,42.0,2.69,65.0,1.02,27.0,74.0,0.0,
DongHun,http://ufcstats.com/fighter-details/3be16d817b36098b,"66.0""",9,0,0,4.54,66.0,3.13,58.0,0.46,14.0,81.0,0.0,
Mark,http://ufcstats.com/fighter-details/001eb2ab0f30e7ea,"69.0""",8,1,0,3.87,50.0,7.33,33.0,2.0,18.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/03c9994c5b8958ec,"74.0""",8,3,0,2.65,49.0,2.29,73.0,1.82,31.0,78.0,0.4,
Ryo,http://ufcstats.com/fighter-details/55a7b2d4e54ffac9,"70.0""",22,13,0,2.57,43.0,2.25,60.0,0.61,41.0,39.0,0.3,
Will,http://ufcstats.com/fighter-details/db5dc7cb80d7d418,--,34,13,0,4.43,27.0,9.93,46.0,0.0,0.0,0.0,0.0,
Cody,http://ufcstats.com/fighter-details/3c4320a1b6106611,"67.0""",9,0,0,2.85,50.0,2.46,51.0,0.0,0.0,83.0,0.0,
Joachim,http://ufcstats.com/fighter-details/2d447cc91bdaa545,"76.0""",14,6,0,3.78,41.0,3.29,46.0,0.0,0.0,0.0,0.0,
Kevin,http://ufcstats.com/fighter-details/7e9b36a9847db116,"80.0""",9,4,0,2.19,58.0,3.54,40.0,0.0,0.0,50.0,1.9,
Dan,http://ufcstats.com/fighter-details/b369533a577fa97c,--,20,7,0,4.23,51.0,3.88,54.0,0.0,0.0,37.0,1.1,
Anthony,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb,--,12,7,0,2.19,26.0,5.9,45.0,0.0,0.0,40.0,0.0,
Murad,http://ufcstats.com/fighter-details/d4a12dfa4067742f,--,8,4,0,0.85,16.0,3.41,66.0,8.53,100.0,0.0,0.0,
Cameron,http://ufcstats.com/fighter-details/f197ce0cbe69996d,"72.0""",4,1,0,4.0,40.0,4.93,50.0,0.0,0.0,60.0,1.0,
Steven,http://ufcstats.com/fighter-details/eaebaa6801338ea1,--,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike,http://ufcstats.com/fighter-details/51b0bb73a1da34bc,--,19,4,0,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,
Hannah,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b,"62.0""",10,7,0,4.99,44.0,5.39,52.0,0.26,100.0,64.0,0.3,
Branko,http://ufcstats.com/fighter-details/4e5bbc4566049cbf,--,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nikolajus,http://ufcstats.com/fighter-details/3f3550bf126a5721,--,2,6,0,0.0,0.0,5.88,16.0,0.0,0.0,0.0,0.0,
Misha,http://ufcstats.com/fighter-details/67f272324a030d00,"77.0""",15,9,0,3.86,51.0,3.06,57.0,4.15,39.0,76.0,1.7,
Johnny,http://ufcstats.com/fighter-details/42611508ba8c3298,--,9,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Laverne,http://ufcstats.com/fighter-details/1c2f2571b18791b6,--,27,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Logan,http://ufcstats.com/fighter-details/6776260cb0aef647,--,18,6,0,2.2,54.0,1.49,53.0,0.31,100.0,30.0,2.1,
Mychal,http://ufcstats.com/fighter-details/69108cb8b32efe04,--,10,14,0,5.8,56.0,2.9,59.0,0.0,0.0,0.0,0.0,
Dominic,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e,--,10,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Heather,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,"64.0""",7,6,0,3.69,49.0,5.62,50.0,0.33,4.0,80.0,0.3,
Devin,http://ufcstats.com/fighter-details/cc7040fe76f0ef91,"75.0""",14,9,0,3.03,54.0,3.24,44.0,2.17,32.0,58.0,0.1,
Jessica-Rose,http://ufcstats.com/fighter-details/6c8072b61c276e67,"64.0""",11,9,0,3.73,51.0,3.51,58.0,1.66,42.0,62.0,0.3,
Shannon,http://ufcstats.com/fighter-details/7ae36b3791e0969a,"64.0""",5,1,0,11.51,58.0,20.55,35.0,0.0,0.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/a77c71a574132188,--,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mitch,http://ufcstats.com/fighter-details/c76ec2bc3a57666a,"73.0""",11,5,0,2.35,34.0,3.27,47.0,0.64,15.0,50.0,0.4,
Rich,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2,"72.0""",45,23,1,1.43,37.0,2.29,60.0,1.72,42.0,25.0,1.1,
Chris,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc,"70.0""",12,6,0,3.2,49.0,2.37,44.0,0.0,0.0,32.0,0.3,
RJ,http://ufcstats.com/fighter-details/8e32bfcff3ec1717,--,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mark,http://ufcstats.com/fighter-details/60098849c703e389,"65.0""",9,2,0,4.13,59.0,2.9,57.0,3.5,36.0,46.0,0.0,
Josh,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0,--,6,2,1,1.6,64.0,2.87,50.0,2.0,66.0,75.0,0.0,
Brian,http://ufcstats.com/fighter-details/3138fab619faf4d1,--,20,9,0,0.0,0.0,3.68,55.0,5.81,50.0,0.0,0.0,
Darryl,http://ufcstats.com/fighter-details/dc6d8256ee3dfba5,--,6,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dave,http://ufcstats.com/fighter-details/6dbb1107de9a4a08,--,26,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dakota,http://ufcstats.com/fighter-details/8fa7e0bc052185ce,--,29,12,0,2.66,75.0,2.66,30.0,4.43,33.0,0.0,0.0,
Marloes,http://ufcstats.com/fighter-details/0b77a05bcbd2de74,"67.0""",23,8,0,2.15,51.0,1.9,67.0,0.82,30.0,41.0,2.5,
Marc,http://ufcstats.com/fighter-details/e90d9d0681270953,--,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/8b260672a21d1fd6,--,8,4,0,2.73,41.0,3.43,62.0,1.22,50.0,64.0,0.0,
Chris,http://ufcstats.com/fighter-details/a0c29b13f7a5df32,--,7,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Felipe,http://ufcstats.com/fighter-details/dbac0a413af64bbe,"69.0""",10,4,0,2.17,45.0,4.65,36.0,1.88,24.0,43.0,0.5,
Wayne,http://ufcstats.com/fighter-details/2eab7a6c8b0ed8cc,--,16,25,0,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,
Devin,http://ufcstats.com/fighter-details/1174782eacde9b0c,--,20,10,1,3.5,55.0,2.14,48.0,2.18,42.0,66.0,0.0,
Coltin,http://ufcstats.com/fighter-details/cecd72feb0d640e3,--,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ivan,http://ufcstats.com/fighter-details/987b80f57190d6d0,--,2,3,0,2.68,36.0,4.69,46.0,0.0,0.0,0.0,0.0,
Chandler,http://ufcstats.com/fighter-details/5d8a9c95af50280a,"72.0""",10,4,0,2.45,60.0,3.59,26.0,0.0,0.0,0.0,0.0,
Mark,http://ufcstats.com/fighter-details/21b8a0f5c231096f,"75.0""",16,10,0,1.88,52.0,2.62,40.0,3.89,40.0,50.0,0.8,
Cortez,http://ufcstats.com/fighter-details/ffb20ae0db47ebe6,--,13,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clay,http://ufcstats.com/fighter-details/cc900c6a71ed23f3,"73.0""",14,7,0,4.22,32.0,5.0,50.0,2.81,39.0,71.0,0.5,
Jamie,http://ufcstats.com/fighter-details/6b64db453edf4c50,"65.0""",4,1,0,3.11,61.0,5.66,33.0,0.52,33.0,50.0,1.6,
Jake,http://ufcstats.com/fighter-details/92fa1401b7927da3,"78.0""",13,10,0,5.8,44.0,5.08,50.0,0.71,33.0,67.0,0.6,
Christian,http://ufcstats.com/fighter-details/9123c54d0a2b72dd,--,8,3,1,2.76,44.0,4.02,42.0,0.0,0.0,33.0,0.0,
Willian,http://ufcstats.com/fighter-details/dfc7f0a2d91ad337,"72.0""",11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wes,http://ufcstats.com/fighter-details/a85998eb79650b2c,--,20,6,0,2.14,48.0,4.73,45.0,0.0,0.0,0.0,0.0,
Rose,http://ufcstats.com/fighter-details/a76c07e8e4c76e9a,"65.0""",7,1,0,3.07,28.0,6.73,60.0,0.0,0.0,0.0,0.0,
Roque,http://ufcstats.com/fighter-details/b4ebc1539a08054b,"67.0""",10,3,0,2.73,40.0,9.09,41.0,0.0,0.0,0.0,0.0,
Carlos,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,"75.0""",32,14,0,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0,
Chris,http://ufcstats.com/fighter-details/41e77dc504a192c6,--,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jack,http://ufcstats.com/fighter-details/c44530d3969134a3,"75.0""",7,2,0,5.29,35.0,9.71,21.0,0.0,0.0,100.0,0.0,
Tristan,http://ufcstats.com/fighter-details/2ebfbe72ed703925,"68.0""",14,8,0,3.31,51.0,2.96,50.0,0.33,14.0,60.0,0.3,
Marcos,http://ufcstats.com/fighter-details/d450769115a193c2,--,5,1,0,1.6,34.0,9.69,35.0,1.84,14.0,0.0,0.0,
Jeremiah,http://ufcstats.com/fighter-details/18f5669a92e99d92,--,11,8,0,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,
Jonathan,http://ufcstats.com/fighter-details/06d4eb8123087123,--,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bob,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a,--,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike,http://ufcstats.com/fighter-details/3ab0df1ddd5f1dc2,--,13,13,0,1.72,49.0,2.4,46.0,1.03,33.0,55.0,2.1,
Chad,http://ufcstats.com/fighter-details/e6daf9cdbf0da889,--,10,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TJ,http://ufcstats.com/fighter-details/fa238ecfd048f7d8,--,13,5,0,2.3,47.0,3.18,54.0,1.01,50.0,0.0,0.0,
Dewey,http://ufcstats.com/fighter-details/5efaaf313b652dd7,--,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brett,http://ufcstats.com/fighter-details/88ffe9745e218dd8,--,23,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bill,http://ufcstats.com/fighter-details/78bd6940d093fd33,--,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bobby,http://ufcstats.com/fighter-details/1b51895e5572cfda,--,12,7,0,2.87,25.0,3.4,59.0,0.0,0.0,40.0,1.0,
Amanda,http://ufcstats.com/fighter-details/d4a31850a7457f1b,"64.0""",3,5,0,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,
Kit,http://ufcstats.com/fighter-details/ce47f49e5c386a9c,--,6,7,0,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,
Chris,http://ufcstats.com/fighter-details/8c8c92a12621d7e0,"72.0""",8,4,0,3.96,26.0,4.82,50.0,0.0,0.0,80.0,0.0,
Josh,http://ufcstats.com/fighter-details/3aa794cbe1e3484b,--,12,4,0,1.03,31.0,3.01,55.0,0.0,0.0,57.0,0.0,
Michael,http://ufcstats.com/fighter-details/2b91eff985b532cd,"77.0""",4,1,0,0.8,28.0,0.13,66.0,0.0,0.0,25.0,0.0,
Akira,http://ufcstats.com/fighter-details/3f52ce18fb98008f,"68.0""",12,6,0,3.25,45.0,4.91,50.0,0.7,28.0,86.0,0.0,
Muhsin,http://ufcstats.com/fighter-details/1f9344211ca7fd60,--,17,9,0,2.02,34.0,5.41,53.0,0.0,0.0,80.0,0.4,
Alden,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,"67.0""",12,3,0,4.69,44.0,2.4,69.0,1.75,50.0,71.0,0.0,
Daniel,http://ufcstats.com/fighter-details/d967f0128c323de6,"72.0""",22,3,0,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,
Nora,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,"67.0""",9,4,0,2.73,55.0,2.04,56.0,0.22,11.0,47.0,0.2,
Clint,http://ufcstats.com/fighter-details/fe67cd6423f7a8ad,--,2,5,0,4.93,32.0,5.6,66.0,0.0,0.0,66.0,0.0,
Henry,http://ufcstats.com/fighter-details/7cb0946d51b8cde7,--,13,3,0,4.12,41.0,5.84,55.0,0.0,0.0,69.0,0.0,
Bethe,http://ufcstats.com/fighter-details/673ea7dcc786b1b3,"64.0""",11,6,1,4.37,43.0,4.93,56.0,0.39,18.0,85.0,0.0,
Wesley,http://ufcstats.com/fighter-details/4e9fb05d7e5e61b8,--,20,16,0,2.6,36.0,8.8,40.0,0.0,0.0,90.0,0.0,
Waldo,http://ufcstats.com/fighter-details/fc08099550072fe4,"78.0""",17,2,0,5.54,49.0,3.38,56.0,0.44,57.0,72.0,0.1,
Tracy,http://ufcstats.com/fighter-details/68d4a891e5cf2029,"65.0""",12,3,0,3.86,48.0,3.01,57.0,2.15,46.0,59.0,0.3,
Reyes,http://ufcstats.com/fighter-details/1a7d44196949577c,"68.0""",7,3,0,4.1,45.0,7.43,52.0,1.5,11.0,100.0,0.0,
Chad,http://ufcstats.com/fighter-details/1267b631db78665a,--,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Louis,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2,"71.0""",7,2,0,4.31,45.0,5.35,47.0,1.04,20.0,50.0,0.5,
Orion,http://ufcstats.com/fighter-details/2c010b26a3306969,"71.0""",8,2,0,2.77,53.0,4.02,44.0,1.92,40.0,61.0,0.0,
Miguel,http://ufcstats.com/fighter-details/d150c6fbdb7687f4,--,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jadson,http://ufcstats.com/fighter-details/222d6b547de2e035,--,22,8,0,0.2,50.0,3.05,50.0,0.0,0.0,0.0,0.0,
Guilherme,http://ufcstats.com/fighter-details/28877eddb1c0b967,--,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Paulo,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,"72.0""",16,4,0,6.15,59.0,5.96,49.0,0.3,42.0,77.0,0.0,
Randy,http://ufcstats.com/fighter-details/325ad0dd9126d3df,"73.0""",6,4,0,6.53,46.0,7.58,58.0,0.0,0.0,50.0,0.0,
Alessandro,http://ufcstats.com/fighter-details/3fa97913cfd205d3,"67.0""",15,5,0,3.73,45.0,3.72,56.0,0.79,26.0,86.0,0.4,
Melquizael,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,"71.0""",26,7,0,4.38,49.0,2.97,54.0,2.0,40.0,58.0,1.1,
