name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Yoshihiro,http://ufcstats.com/fighter-details/b0550072e5f0afa7,"75.0""",14,6,0,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,
Rostem,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,"72.0""",6,2,0,1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,
Razak,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,--,13,5,0,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,
Abdul-Kareem,http://ufcstats.com/fighter-details/597499ac7a5aac62,"69.0""",16,4,0,4.61,41.0,3.43,60.0,1.47,23.0,54.0,0.0,
Mostapha,http://ufcstats.com/fighter-details/1cf1310684a841f5,"77.0""",6,6,0,1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0,
Herdem,http://ufcstats.com/fighter-details/7578cc6bd750206b,"75.0""",5,1,0,3.84,65.0,6.66,23.0,2.06,50.0,42.0,0.0,
Javi,http://ufcstats.com/fighter-details/2144954270be834d,--,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,http://ufcstats.com/fighter-details/1897b7b913736a7c,"66.0""",17,10,2,2.82,32.0,5.12,57.0,1.74,43.0,75.0,0.0,
Amir,http://ufcstats.com/fighter-details/6d35bf94f7d30241,"68.0""",17,3,0,2.47,33.0,3.88,59.0,1.18,25.0,62.0,0.4,
Brett,http://ufcstats.com/fighter-details/9b28292abe3166d5,--,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,"68.0""",6,5,0,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,
Junior,http://ufcstats.com/fighter-details/c482c8605455a213,"74.0""",14,6,0,3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0,
Wes,http://ufcstats.com/fighter-details/184b955181bdef52,--,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aleksandra,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,"63.0""",3,2,0,4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4,
Israel,http://ufcstats.com/fighter-details/dd1b90eea08887f6,--,0,3,0,0.32,13.0,3.34,25.0,0.0,0.0,0.0,0.0,
Juan,http://ufcstats.com/fighter-details/39f62b833e4cf126,--,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iuri,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,"71.0""",35,10,0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,
Ildemar,http://ufcstats.com/fighter-details/7c6e87729e824ef4,"78.0""",21,11,0,1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,
Alfonso,http://ufcstats.com/fighter-details/1e38bba6738b7b10,--,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gilbert,http://ufcstats.com/fighter-details/d26934530dc5b248,--,6,2,0,2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0,
Irene,http://ufcstats.com/fighter-details/578ef12674df1e6a,"68.0""",15,8,0,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2,
Hector,http://ufcstats.com/fighter-details/c487223b0289bda9,"72.0""",4,3,0,3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0,
Jose,http://ufcstats.com/fighter-details/7460ddef986d3144,"68.0""",14,6,1,3.13,44.0,3.13,58.0,0.0,0.0,57.0,0.0,
Jose,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,"70.0""",32,10,0,3.65,46.0,3.81,60.0,0.47,51.0,92.0,0.1,
JJ,http://ufcstats.com/fighter-details/6fd953151d981979,"67.0""",15,7,0,3.92,46.0,4.34,61.0,0.7,25.0,67.0,0.0,
Irina,http://ufcstats.com/fighter-details/103e2e33a60683e1,"67.0""",5,4,0,3.42,38.0,5.02,45.0,0.38,20.0,50.0,0.4,
Talita,http://ufcstats.com/fighter-details/d35298b6df168456,"58.0""",8,1,1,3.09,36.0,3.67,51.0,3.01,29.0,66.0,0.5,
Jim,http://ufcstats.com/fighter-details/fe5a9547479396ab,"71.0""",13,3,0,2.9,40.0,4.38,56.0,2.26,41.0,80.0,0.3,
John,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,"72.0""",35,17,0,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,
Houston,http://ufcstats.com/fighter-details/0541480fbf719d86,"72.0""",17,15,1,3.06,54.0,3.2,52.0,1.19,57.0,33.0,0.0,
Kenneth,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,--,7,6,0,0.88,19.0,2.2,66.0,4.71,26.0,0.0,0.0,
Lucas,http://ufcstats.com/fighter-details/11583163f45c7b31,"73.0""",8,5,0,4.69,57.0,2.87,56.0,0.0,0.0,60.0,0.0,
Marcio,http://ufcstats.com/fighter-details/d53482bef23235ba,"75.0""",17,4,0,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,
Olaf,http://ufcstats.com/fighter-details/b757c73f443d4fca,--,8,12,0,1.65,38.0,4.77,53.0,0.37,7.0,22.0,0.7,
Pablo,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,--,9,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Levi,http://ufcstats.com/fighter-details/41b34b7f11f6d085,--,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bill,http://ufcstats.com/fighter-details/9abc648e76c4493a,"73.0""",18,9,0,5.88,51.0,4.38,47.0,1.03,50.0,55.0,0.1,
Royce,http://ufcstats.com/fighter-details/669a3cb6e394f515,--,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amir,http://ufcstats.com/fighter-details/e17770faae3ca54c,--,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sultan,http://ufcstats.com/fighter-details/e70de1859b7ee78e,"74.0""",15,3,0,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,
Nurullo,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,"72.0""",11,0,0,2.72,44.0,1.63,58.0,2.12,43.0,80.0,0.3,
Kimbert,http://ufcstats.com/fighter-details/a075a34d7527fadf,--,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
